link,Рейтинг,Количество отзывов,Название,Цена,Тип,Диагональ экрана в,Разрешение,Частота обновления,Разрешение матрицы экрана,Яркость,Контраст к 1,Поверхность,Тип матрицы,Тип матрицы маркетинговый,Соотношение сторон,Оперативная,Макс. объем оперативной,Количество слотов оперативной,Возможность апгрейда оперативной памяти,Объем,Тип графического,Графический,Процессор,"Процессор,",Количество ядер,Максимальное число потоков,Количество высокопроизводительных ядер,Объем кэша L2,Объем кэша L3,Техпроцесс,Ядро процессора,Поддержка технологии,Порты USB 2.0,Порты USB 3.0,Мак. скорость передачи данных (Type-A),Порты USB 3.0 (Type-C),Мак. скорость передачи данных (Type-C),Операционная система,Для учебы,Для работы,Веб-камера,Разъем,Акустическая,Язык клавиатуры,Цвет клавиатуры,Цифровой блок,Подсветка клавиш,Цвет подсветки клавиатуры,Устройства позиционирования,Гарантия,Емкость,Энергоемкость,Комплектация,Материал,Цветовое,Размеры,Вес,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Возможность апгрейда HDD/SSD,Конфигурация возможного апгрейда жесткого диска,Количество разъемов жесткого диска,Количество свободных разъемов жесткого диска,Кард-ридер,Кабельная,Порты USB 3.1 (Type-A),Порты USB 3.2 (Type-C),Возможность передачи видео через USB Type-C,Разрядность ОС,Поддержка языков,Разъем для,Сканер отпечатка,Напряжение,Особенности,Kensington,Угол обзора,Цветовой охват NTSC,Количество занятых слотов оперативной,Конфигурация установленного SSD,Версия HDMI,Количество микрофонов,Мощность акустики,Количество ячеек,Внешняя,Внутренняя,Режим защиты зрения,Относительная площадь,"Функция ""Мультиэкран""",Особенности жестких дисков,Порты USB 2.0 (Type-C),Функция быстрой зарядки,Выходная мощность адаптера питания,Охлаждение,TGP,Поддержка трассировки,Поддержка,Технология,Разъем mini,Для геймеров,Подходит для,Количество энергоэффективных ядер,Максимальное разрешение внешнего монитора,Порты USB 3.1 (Type-C),Возможность зарядки от Type-C (USB Power Delivery),Ударопрочный корпус,Цветовой охват sRGB,Разъемов Thunderbolt 4,Для дизайна,Разблокировка по лицу,Максимальное время работы от,Количество свободных слотов оперативной,Плотность пикселей,Среднее время работы,Тип вилки,Режим S mode,Время отклика,Цветовой охват DCI-P3,Поддержка HDR,Технология HDR,RTX Studio,Конфигурация второго установленного SSD,Конфигурация третьего установленного SSD,Настройка подсветки клавиатуры,Антибактериальное покрытие,Порты USB 3.2 (Type-A),Цветовой охват Adobe RGB,Поддержка Intel Optane,Установленный объем Intel Optane,Число ядер графического контроллера,Стандарт связи,Пропускная способность памяти,Поддержка NVIDIA G-Sync,Сенсорный,Разъемов Thunderbolt,Разъемов Thunderbolt 3,Touch,Delta E Цвета,Порты USB 4.0 (Type-C),Сумка в,Тип сумки в комплекте,Срок окончания гарантии,"Следы естеств. убыли, износа, экспл. товара",Гарантийный ремонт(причина ремонта),Причины уценки,Особенности ОС,Delta E,Встроенный сабвуфер,Мощность сабвуфера,Стилус в комплекте,Технология динамического экрана,Динамический экран
https://www.citilink.ru/product/noutbuk-huawei-matebook-d16-i5-10400h-16gb-ssd512gb-16-ips-fhd-noos-gr-1936330/,Код товара: 1936330,,"Ноутбук Huawei MateBook D 16 16"", IPS, Intel Core i5 12450H 2ГГц, 8-ядерный, 16ГБ LPDDR4x, 512ГБ SSD, Intel UHD Graphics , без операционной системы, серый космос [53013tpc]",81 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-huawei-matebook-d-i5-1135g7-8gb-ssd256gb-15-6-ips-fhd-w11h-gre-1829247/,4.9,186.0,"Ноутбук Huawei MateBook D 15 BoD-WDH9, 15.6"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD, Intel Iris Xe graphics , Windows 11 Home, серебристый [53013ert]",46 990₽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-huawei-matebook-d-bod-wdi9-i3-1115g4-8gb-ssd256gb-15-6-ips-ips-1926547/,Код товара: 1926547,,"Ноутбук Huawei MateBook D 15 BOD-WDI9, 15.6"", IPS, Intel Core i3 1115G4 3ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD, Intel UHD Graphics , Windows 11 Home, серый космос [53013plv]",43 990₽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-hiper-expertbook-mtl1577-ryzen-5-5600u-8gb-ssd256gb-15-6-ips-f-1798180/,5,1.0,"Ноутбук HIPER Expertbook MTL1577, 15.6"", IPS, AMD Ryzen 5 5600U 2.3ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD, AMD Radeon , Windows 10 Home, серый [bq3lvdhq]",46 990,Li-Ion,"15.6 """,0.9 Мп,60 Гц,FHD,250 кд/м2,700.0,матовая,IPS,IPS,16:9,"8 ГБ, DDR4, 2666 МГц",64 ГБ,2.0,есть,256 ГБ,интегрированный,AMD Radeon,AMD Ryzen 5 5600U,"2.3 ГГц (4.2 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,3 МБ,16 МБ,7 нм,Cezanne,"есть, v4.2",1.0,1.0,5 Гбит/с,2.0,5 Гбит/с,Windows 10 Home,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,есть,есть,белая,Touchpad,12 мес.,4800 mAh,55 Wh,Ноутбук/блок питания/гарантийный талон,пластик и металл,серый,359.3 х 236.8 х 18.2 мм,1.7 кг,0.466x0.069x0.301 м,2.81 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-digma-pro-fortis-m-i5-10210u-8gb-ssd512gb-620-15-6-ips-fhd-w11-1828625/,5,3.0,"Ноутбук Digma Pro Fortis M, 15.6"", IPS, Intel Core i5 10210U 1.6ГГц, 4-ядерный, 8ГБ 512ГБ SSD, Intel UHD Graphics , Windows 11 Professional, серый [dn15p5-8dxw01]",45 990₽,Ноутбук,"15.6 """,2 Мп,60 Гц,FHD,,,матовая,IPS,IPS,16:9,"8 ГБ, 2666 МГц",,,,512 ГБ,интегрированный,Intel UHD Graphics,Intel Core i5 10210U,"1.6 ГГц (4.2 ГГц, в режиме Turbo)",4-ядерный,8 шт,4.0,1 МБ,6 МБ,14 нм,Comet Lake,"есть, v5.0",1.0,,5 Гбит/с,1.0,20 Гбит/с,Windows 11 Professional,да,да,встроенная,1,стереодинамики,русский/английский,черный,есть,есть,белая,,12 мес.,4250 mAh,49 Wh,,пластик и металл,серый,359.1 х 246.2 х 19.4 мм,1.87 кг,0.52x0.11x0.35 м,2 кг,есть,"2.5"" SATA",1 шт,1 шт,"есть, поддержкаmicroSD",10/100/1000 (Gigabit Ethernet) Мбит/с,1.0,1.0,есть,64-bit,Multi Language,есть,есть (Fingerprint),11.55 V,Полнофункциональный разъём Type-C. Подсветка клавиатуры. Сканер отпечатка пальцев. Металлическая крышка. Слот для дополнительного накопителя памяти. Kensington lock.,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-asus-a516jp-ej461-i7-1065g7-16gb-ssd512gb-mx330-2gb-15-6-tn-fh-1882095/,Код товара: 1882095,,"Ноутбук ASUS A516JP-EJ461, 15.6"", TN, Intel Core i7 1065G7 1.3ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD, NVIDIA GeForce MX330 - 2 ГБ, без операционной системы, серебристый [90nb0ss2-m005y0]",55 990₽,Li-Ion,"15.6 """,0.3 Мп,60 Гц,FHD,200 кд/м2,,матовая,TN,TN,16:9,"16 ГБ, DDR4",16 ГБ,1.0,,512 ГБ,дискретный,NVIDIA GeForce MX330 - 2 ГБ,Intel Core i7 1065G7,"1.3 ГГц (3.9 ГГц, в режиме Turbo)",4-ядерный,8 шт,4.0,2 МБ,8 МБ,10 нм,Ice Lake,"есть, v4.1",2.0,1.0,5 Гбит/с,1.0,5 Гбит/с,без операционной системы,да,да,встроенная,комбинированный разъем,встроенный динамик,русский/английский,черный,есть,нет,,Touchpad,12 мес.,,37 Wh,,высококачественный пластик,серебристый,360.2 х 234.9 х 19.9 мм,1.8 кг,0.48x0.065x0.29 м,3.2 кг,есть,"2.5"" SATA",2 шт,1 шт,,,,,,,,,,,,,83 °,45 %,1 шт,PCI-E 3.0 x4 M.2 2280,1.4,1.0,1,2 cell,матовая,матовая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-huawei-matebook-d-bom-wfp9-ryzen-7-5700u-16gb-ssd512gb-15-6-ip-1926460/,Код товара: 1926460,,"Ноутбук Huawei MateBook D 15 BoM-WFP9, 15.6"", IPS, AMD Ryzen 7 5700U 1.8ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD, AMD Radeon , без операционной системы, серебристый [53013spn]",59 990₽,Li-Pol,"15.6 """,0.9 Мп,60 Гц,FHD,250 кд/м2,800.0,матовая,IPS,IPS,16:9,"16 ГБ, DDR4",,,,512 ГБ,интегрированный,AMD Radeon,AMD Ryzen 7 5700U,"1.8 ГГц (4.3 ГГц, в режиме Turbo)",8-ядерный,16 шт,8.0,4 МБ,8 МБ,7 нм,Lucienne,"есть, v5.0",2.0,,5 Гбит/с,,,без операционной системы,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,нет,,Touchpad,12 мес.,,56 Wh,,алюминий,серебристый,357.8 х 229.9 х 16.9 мм,1.56 кг,0.52x0.06x0.28 м,2.5 кг,,,,,,,,,,,,,есть (Fingerprint),,Скрываемая HD-камера,,178 °,,,,,2.0,2 x 2 Вт,,,,есть,87 %,есть,NVMe,1.0,есть,65 Вт,активное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-hiper-dzen-mtl1569-i5-1135g7-8gb-ssd256gb-15-6-ips-fhd-dos-sil-1797151/,5,1.0,"Ноутбук HIPER DZEN MTL1569, 15.6"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD, Intel Iris Xe graphics , Free DOS, серый [46xjdosu]",54 990,Li-Ion,"15.6 """,2 Мп,60 Гц,FHD,250 кд/м2,700.0,матовая,IPS,IPS,16:9,"8 ГБ, DDR4, 2666 МГц",64 ГБ,2.0,есть,256 ГБ,интегрированный,Intel Iris Xe graphics,Intel Core i5 1135G7,"2.4 ГГц (4.2 ГГц, в режиме Turbo)",4-ядерный,8 шт,4.0,5 МБ,8 МБ,10 нм,Tiger Lake,"есть, v4.2",1.0,2.0,5 Гбит/с,1.0,5 Гбит/с,Free DOS,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,есть,есть,белая,Touchpad,12 мес.,5700 mAh,43.8 Wh,Ноутбук/блок питания/гарантийный талон,пластик и металл,серый,358.8 х 229.3 х 21.4 мм,1.7 кг,0.465x0.067x0.3 м,2.7 кг,,,,,"есть, поддержкаSD",10/100/1000 (Gigabit Ethernet) Мбит/с,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-gp66-leopard-11ug-699xru-i7-11800h-16gb-ssd512gb-rtx-3070-1849727/,4.9,71.0,"Ноутбук игровой MSI GP66 Leopard 11UG-699XRU, 15.6"", IPS, Intel Core i7 11800H 2.3ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD, NVIDIA GeForce RTX 3070 для ноутбуков - 8 ГБ, Free DOS, черный [9s7-154322-699]",134 990₽,Ноутбук,"15.6 """,1920х1080,144 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",64 ГБ,2.0,есть,512 ГБ,дискретный,NVIDIA GeForce RTX 3070 для ноутбуков - 8 ГБ,Intel Core i7 11800H,"2.3 ГГц (4.6 ГГц, в режиме Turbo)",8-ядерный,16 шт,8.0,10 МБ,24 МБ,10 нм,Tiger Lake,"есть, v5.2",,3.0,5 Гбит/с,,,Free DOS,,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,есть,RGB,,12 мес.,,65 Wh,,,черный,358 х 267 х 23.4 мм,2.38 кг,0.47x0.09x0.32 м,4.2 кг,,,,,,10/100/1000/2500 (2.5 Gigabit Ethernet) Мбит/с,,,,,,,,,,,,,,,,,,4 cell,,,,,,,,,280 Вт,,140 Вт,есть,есть,Reflex,1.0,да,World of Warcraft | Resident Evil 4 Remake | Dying Light 2 Stay Human | Elden Ring | Forza Horizon 5 | Metro Exodus | Resident Evil Village | SCUM | The Callisto Protocol | Control | FIFA 23 |Cyberpunk 2077 | Genshin Impact | God of War | Marvel's Spider-Man Remastered | Overwatch 2 | PUBG | Red Dead Redemption 2 | Uncharted Legacy of Thieves Collection | Apex Legends | Call of Duty Warzone | Destiny 2 | Stray | Path of Exile | Fortnite | Ведьмак 3 | Civilization VI | Lost Ark |Gta 5 | World of Tanks | League of Legends | Atomic Heart | Diablo IV | Star Wars Jedi: Survivor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-gf63-thin-11uc-i5-11400h-16gb-ssd512gb-rtx-3050-4gb-15-6-i-1800490/,,,‌,134 990₽,Li-Pol,"15.6 """,1920х1080,144 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",64 ГБ,2.0,есть,512 ГБ,дискретный,NVIDIA GeForce RTX 3050 для ноутбуков - 4 ГБ,Intel Core i5 11400H,"2.7 ГГц (4.5 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,7.5 МБ,12 МБ,10 нм,Tiger Lake,"есть, v5.1",,3.0,5 Гбит/с,1.0,5 Гбит/с,Free DOS,да,да,встроенная,1,стереодинамики,русский/английский,черный,нет,есть,красная,,12 мес.,,51 Wh,,алюминий,черный,359 х 254 х 21.7 мм,1.86 кг,0.47x0.08x0.32 м,3.37 кг,,,,,,10/100/1000 (Gigabit Ethernet) Мбит/с,,,,,,есть,,,,,,,,,,,,3 cell,,,,,,,,,,,,,,,,да,Stray | Path of Exile | Fortnite | Ведьмак 3 | Civilization VI | Lost Ark |Gta 5 | World of Tanks | League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-huawei-matebook-d-i5-1135g7-8gb-ssd512gb-15-6-ips-fhd-w11h-sil-1892720/,5,32.0,"Ноутбук Huawei MateBook D 15 BoD-WFH9, 15.6"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD, Intel Iris Xe graphics , Windows 11 Home, серебристый [53013erx]",62 990₽,Li-Pol,"15.6 """,0.9 Мп,60 Гц,FHD,250 кд/м2,800.0,матовая,IPS,IPS,16:9,"16 ГБ, DDR4",,,,512 ГБ,интегрированный,Intel Iris Xe graphics,Intel Core i5 1135G7,"2.4 ГГц (4.2 ГГц, в режиме Turbo)",4-ядерный,8 шт,4.0,5 МБ,8 МБ,10 нм,Tiger Lake,"есть, v5.1",2.0,,5 Гбит/с,,,Windows 11 Home,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,нет,,Touchpad,12 мес.,,42 Wh,,алюминий,серебристый,357.8 х 229.9 х 16.9 мм,1.56 кг,0.52x0.065x0.28 м,2.5 кг,,,,,,,,,,,,,есть (Fingerprint),,Скрываемая HD-камера,,178 °,,,,,2.0,2 x 2 Вт,3 cell,,,есть,87 %,есть,NVMe,1.0,есть,65 Вт,активное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-sword-15-a12ue-i7-12700h-16gb-ssd512gb-rtx-3060-6gb-15-6-i-1660309/,4.8,37.0,"Ноутбук игровой MSI Sword 15 A12UE-487XRU, 15.6"", IPS, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR4, 512ГБ SSD, NVIDIA GeForce RTX 3060 для ноутбуков - 6 ГБ, Free DOS, белый [9s7-158333-487]",105 990₽,Ноутбук,"15.6 """,1920х1080,144 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",64 ГБ,2.0,есть,512 ГБ,дискретный,NVIDIA GeForce RTX 3060 для ноутбуков - 6 ГБ,Intel Core i7 12700H,"2.3 ГГц (4.7 ГГц, в режиме Turbo)",14-ядерный,20 шт,6.0,11.5 МБ,24 МБ,Intel 7,Alder Lake,"есть, v5.2",1.0,2.0,,1.0,5 Гбит/с,Free DOS,,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,белый,есть,есть,,,12 мес.,,53.5 Wh,,,белый,359 х 259 х 24.9 мм,2.25 кг,0.52x0.1x0.34 м,4.3 кг,,,,,,10/100/1000 (Gigabit Ethernet) Мбит/с,,,,,,,,,,,,,,,,,,3 cell,,,,,,,,,,,105 Вт,есть,есть,Reflex,,да,Control | FIFA 23 |Cyberpunk 2077 | Genshin Impact | God of War | Marvel's Spider-Man Remastered | Overwatch 2 | PUBG | Red Dead Redemption 2 | Uncharted Legacy of Thieves Collection | Apex Legends | Call of Duty Warzone | Destiny 2 | Stray | Path of Exile | Fortnite | Ведьмак 3 | Civilization VI | Lost Ark |Gta 5 | World of Tanks | League of Legends | Atomic Heart | Diablo IV,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-modern-14-c5m-ryzen-5-5625u-16gb-ssd512gb-14-ips-fhd-dos-g-1848461/,4.6,11.0,"Ноутбук MSI Modern 14 C5M-010XRU, 14"", IPS, AMD Ryzen 5 5625U 2.3ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD, AMD Radeon , Free DOS, черный [9s7-14jk12-010]",58 990₽,Li-Pol,"14 """,0.9 Мп,60 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",,,,512 ГБ,интегрированный,AMD Radeon,AMD Ryzen 5 5625U,"2.3 ГГц (4.3 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,3 МБ,16 МБ,7 нм,Barcelo,"есть, v5.2",2.0,,10 Гбит/с,,10 Гбит/с,Free DOS,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,есть,белая,Touchpad,12 мес.,,39.3 Wh,,алюминий,черный,319.9 х 223 х 19.35 мм,1.4 кг,0.43x0.08x0.28 м,2.6 кг,,,1 шт,,"есть, поддержкаmicroSD",,1.0,,,,,,,,,,,,,M.2 2280,,,,3 cell,,,,,,,,,65 Вт,,,,,,,,,,4K/30Гц,1.0,есть,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-huawei-matebook-d-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-w11-grey-1806663/,4.9,39.0,"Ноутбук Huawei MateBook D 15 BOD-WDI9, 15.6"", IPS, Intel Core i3 1115G4 3ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD, Intel UHD Graphics , Windows 11 Home, серебристый [53013erv]",43 990₽,Li-Pol,"15.6 """,0.9 Мп,60 Гц,FHD,250 кд/м2,800.0,матовая,IPS,IPS,16:9,"8 ГБ, DDR4, 3200 МГц",,1.0,,256 ГБ,интегрированный,Intel UHD Graphics,Intel Core i3 1115G4,"3 ГГц (4.1 ГГц, в режиме Turbo)",2-ядерный,4 шт,2.0,2.5 МБ,6 МБ,10 нм,Tiger Lake,"есть, v5.1",2.0,1.0,5 Гбит/с,1.0,5 Гбит/с,Windows 11 Home,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,нет,,,12 мес.,3665 mAh,42 Wh,,алюминий,серебристый,357.8 х 229.9 х 16.9 мм,1.53 кг,0.51x0.06x0.28 м,2.4 кг,,,,,,,,,,,,,есть (Fingerprint),,Скрываемая HD-камера,,,,,,,,,3 cell,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-gf63-thin-11sc-i5-11400h-8gb-ssd256gb-gtx-1650-max-q-4gb-1-1835496/,4.8,15.0,"Ноутбук игровой MSI GF63 Thin 11SC-623XRU, 15.6"", IPS, Intel Core i5 11400H 2.7ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD, NVIDIA GeForce GTX 1650 MAX Q - 4 ГБ, Free DOS, черный [9s7-16r612-623]",69 990₽,Li-Pol,"15.6 """,1920х1080,144 Гц,FHD,,,матовая,IPS,IPS,16:9,"8 ГБ, DDR4, 3200 МГц",64 ГБ,2.0,есть,256 ГБ,дискретный,NVIDIA GeForce GTX 1650 MAX Q - 4 ГБ,Intel Core i5 11400H,"2.7 ГГц (4.5 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,7.5 МБ,12 МБ,10 нм,Tiger Lake,"есть, v5.2",,3.0,5 Гбит/с,1.0,5 Гбит/с,Free DOS,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,есть,красная,,12 мес.,,51 Wh,,,черный,359 х 254 х 21.7 мм,1.86 кг,0.48x0.09x0.33 м,3.4 кг,,,,,,10/100/1000 (Gigabit Ethernet) Мбит/с,,,,,,,,,,,,,,,,,,3 cell,,,,,,,,,,,,,,,,да,Fortnite | Ведьмак 3 | Civilization VI |Gta 5 | World of Tanks | League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-modern-14-c5m-ryzen-5-5625u-16gb-ssd512gb-14-ips-fhd-w11-g-1848454/,5,10.0,"Ноутбук MSI Modern 14 C5M-012RU, 14"", IPS, AMD Ryzen 5 5625U 2.3ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD, AMD Radeon , Windows 11 Home, черный [9s7-14jk12-012]",52 990₽,Li-Pol,"14 """,0.9 Мп,60 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",,,,512 ГБ,интегрированный,AMD Radeon,AMD Ryzen 5 5625U,"2.3 ГГц (4.3 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,3 МБ,16 МБ,7 нм,Barcelo,"есть, v5.2",2.0,,10 Гбит/с,,10 Гбит/с,Windows 11 Home,да,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,черный,нет,есть,белая,Touchpad,12 мес.,,39.3 Wh,,алюминий,черный,319.9 х 223 х 19.35 мм,1.4 кг,0.43x0.08x0.28 м,2.6 кг,,,1 шт,,"есть, поддержкаmicroSD",,1.0,,,,,,,,,,,,,M.2 2280,,,,3 cell,,,,,,,,,65 Вт,,,,,,,,,,4K/30Гц,1.0,есть,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-gf63-thin-11ud-i5-11400h-16gb-ssd512gb-rtx-3050-ti-4gb-15-1800489/,4.9,14.0,"Ноутбук игровой MSI GF63 Thin 11UD-206XRU, 15.6"", IPS, Intel Core i5 11400H 2.7ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD, NVIDIA GeForce RTX 3050 Ti для ноутбуков - 4 ГБ, Free DOS, черный [9s7-16r612-206]",85 990₽,Li-Pol,"15.6 """,0.9 Мп,144 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",64 ГБ,2.0,есть,512 ГБ,дискретный,NVIDIA GeForce RTX 3050 Ti для ноутбуков - 4 ГБ,Intel Core i5 11400H,"2.7 ГГц (4.5 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,7.5 МБ,12 МБ,10 нм,Tiger Lake,"есть, v5.1",,3.0,20 Гбит/с,1.0,5 Гбит/с,Free DOS,да,да,встроенная,1,стереодинамики,русский/английский,черный,нет,есть,красная,Touchpad,12 мес.,,51 Wh,,алюминий,черный,359 х 254 х 21.7 мм,1.86 кг,0.48x0.08x0.32 м,3.38 кг,,,,,,10/100/1000 (Gigabit Ethernet) Мбит/с,,,,,,есть,,,,,,,,,,,,3 cell,,,,,,,,,,,,,,,,да,Apex Legends | Call of Duty Warzone | Destiny 2 | Stray | Path of Exile | Fortnite | Ведьмак 3 | Civilization VI | Lost Ark |Gta 5 | World of Tanks | League of Legends | Diablo IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/noutbuk-msi-sword-17-a11ud-i5-11400h-16gb-ssd512gb-rtx-3050-ti-4gb-17-1681285/,4.8,20.0,"Ноутбук игровой MSI Sword 17 A11UD-809XRU, 17.3"", IPS, Intel Core i5 11400H 2.7ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD, NVIDIA GeForce RTX 3050 Ti для ноутбуков - 4 ГБ, Free DOS, белый [9s7-17l213-809]",89 990₽,Li-Pol,"17.3 """,0.9 Мп,144 Гц,FHD,,,матовая,IPS,IPS,16:9,"16 ГБ, DDR4, 3200 МГц",64 ГБ,2.0,есть,512 ГБ,дискретный,NVIDIA GeForce RTX 3050 Ti для ноутбуков - 4 ГБ,Intel Core i5 11400H,"2.7 ГГц (4.5 ГГц, в режиме Turbo)",6-ядерный,12 шт,6.0,7.5 МБ,12 МБ,10 нм,Tiger Lake,"есть, v5.2",1.0,2.0,5 Гбит/с,1.0,5 Гбит/с,Free DOS,,да,встроенная,комбинированный разъем,стереодинамики,русский/английский,белый,есть,есть,синяя,Touchpad,12 мес.,,53.5 Wh,,,белый,398 х 273 х 25.2 мм,2.6 кг,0.57x0.1x0.35 м,5.9 кг,,,,,,10/100/1000 (Gigabit Ethernet) Мбит/с,,,,,,,,,,,,,2 шт,M.2 2280,,1.0,,3 cell,,,,,,,,,150 Вт,активное,60 Вт,есть,есть,Reflex,,да,Apex Legends | Call of Duty Warzone | Destiny 2 | Stray | Path of Exile | Fortnite | Ведьмак 3 | Civilization VI | Lost Ark |Gta 5 | World of Tanks | League of Legends | Diablo IV,,4K/60Гц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
